method,central_beeline_aupr_ratio,central_hpn_aupr_ratio,timeseries_hpn_aupr_ratio_approx,timeseries_beeline_aupr_ratio_approx,hpn_aupr_minus_random,beeline_aupr_minus_random
genie3,1.3861074155192906e-06,4.000653815999384e-06,4.046572357282941e-06,1.4016764690202387e-06,1.1388287977704698e-09,-1.8996919462821018e-10
grnboost2,1.3860990651765236e-06,4.000707714739695e-06,4.046626874660016e-06,1.401668024884645e-06,1.1794495885320188e-09,-1.9741990250521068e-10
pearson,1.3860676602172129e-06,3.999723590581686e-06,4.045631454961864e-06,1.4016362671781467e-06,4.3776432324239514e-10,-2.254414082388335e-10
pidc_full,1.3867101535299026e-06,4.000165124322165e-06,4.0460780565203104e-06,1.4022859771124688e-06,7.705262687513534e-10,3.4783206322179497e-10
pidc_proxy,1.387118444390823e-06,4.000155161916456e-06,4.046067979768507e-06,1.4026988539832368e-06,7.630181007413912e-10,7.1213518448772e-10
random,1.386013618207177e-06,3.998932940834811e-06,4.044831730327555e-06,1.4015816181567526e-06,-1.581089336942531e-10,-2.7366113299844735e-10
scenic_grnboost2,1.3869470377928752e-06,4.000324266676261e-06,4.046239025472031e-06,1.4025255221099e-06,8.904639190528653e-10,5.591952962492881e-10
scenic_pruned,1.3867314716321366e-06,4.000200684163558e-06,4.046114024509002e-06,1.4023075346641644e-06,7.973259465995442e-10,3.6685343236496563e-10
spearman,1.3860676602172129e-06,3.9997236011492e-06,4.04563146565067e-06,1.4016362671781467e-06,4.3777228745062345e-10,-2.254414082388335e-10
