scenario,method,aupr_ratio_median,observed_aupr_median,scenario_rank,raw_rank,overlap_point_rank,rank_shift_vs_overlap
adversarial_150pct,probe_consensus,0.0011039615205308269,0.00015934463523014568,1.0,1.0,1.0,0.0
adversarial_150pct,probe_perturbation,0.00100028751761386,0.00014455559160988132,2.0,3.0,2.0,0.0
adversarial_150pct,probe_integrated_gradients,0.0009923922067175636,0.00014516250912222385,3.0,2.0,3.0,0.0
adversarial_150pct,probe_grad_input,0.000988333677987674,0.00014285038070842865,4.0,4.0,4.0,0.0
adversarial_150pct,probe_attention,0.0008430734049789499,0.000122129038829596,5.0,5.0,5.0,0.0
adversarial_150pct,attention_inferred,0.0008419192982705126,0.00012196441606193337,6.0,6.0,6.0,0.0
adversarial_150pct,grnboost2,3.018022950530242e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
adversarial_150pct,genie3,3.0179822908152964e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
adversarial_150pct,scenic_grnboost2,3.017733687945146e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
adversarial_150pct,scenic_pruned,3.01764046072481e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
adversarial_150pct,pidc_full,3.017613635366625e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
adversarial_150pct,pidc_proxy,3.0176061200040402e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
adversarial_150pct,spearman,3.0172805625294645e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
adversarial_150pct,pearson,3.0172805545576245e-06,3.014392064481389e-06,14.0,14.0,14.0,0.0
adversarial_150pct,random,3.0166841103152445e-06,3.0137961912244524e-06,15.0,15.0,15.0,0.0
adversarial_half,probe_consensus,0.003310578988227593,0.00015934463523014568,1.0,1.0,1.0,0.0
adversarial_half,probe_perturbation,0.0029996448862173643,0.00014455559160988132,2.0,3.0,2.0,0.0
adversarial_half,probe_integrated_gradients,0.0029756222736116726,0.00014516250912222385,3.0,2.0,3.0,0.0
adversarial_half,probe_grad_input,0.0029637935035307698,0.00014285038070842865,4.0,4.0,4.0,0.0
adversarial_half,probe_attention,0.00252813586040484,0.000122129038829596,5.0,5.0,5.0,0.0
adversarial_half,attention_inferred,0.002524674516889563,0.00012196441606193337,6.0,6.0,6.0,0.0
adversarial_half,grnboost2,7.844806800271617e-06,3.0151337497466787e-06,7.0,7.0,7.0,0.0
adversarial_half,genie3,7.844701112669657e-06,3.015093128955917e-06,8.0,8.0,8.0,0.0
adversarial_half,scenic_grnboost2,7.844054914307917e-06,3.0148447640771995e-06,9.0,9.0,9.0,0.0
adversarial_half,scenic_pruned,7.843812586948566e-06,3.014751626104746e-06,10.0,10.0,10.0,0.0
adversarial_half,pidc_full,7.843742859264e-06,3.014724826426898e-06,11.0,11.0,11.0,0.0
adversarial_half,pidc_proxy,7.843723324433258e-06,3.014717318258888e-06,12.0,12.0,12.0,0.0
adversarial_half,spearman,7.84287709644484e-06,3.0143920724455973e-06,13.0,13.0,13.0,0.0
