method,reference,source_table,c_value,f1_ceiling,aupr_ceiling,f1_ratio,aupr_ratio
attention_inferred,dorothea_human,probe_priors,0.04748801220575414,0.09067027336333133,0.04756332442546047,0.00017879215762080754,0.004938605726080425
attention_inferred,dorothea_human,probe_priors,0.0494262984182339,0.09419679779844006,0.049504275782436755,0.00017209856582796603,0.004744974098628005
attention_inferred,dorothea_human,probe_priors,0.05136458463071366,0.09771031929662194,0.05144520607867513,0.00016591015077420688,0.004565955202896319
attention_inferred,dorothea_human,probe_priors,0.05330287084319342,0.10121090964182644,0.05338611573327283,0.0001601718022698121,0.004399954990780516
attention_inferred,dorothea_human,probe_priors,0.05524115705567318,0.10469864009058685,0.05532700513619588,0.0001548361448885327,0.00424560313323966
attention_inferred,dorothea_human,probe_priors,0.05717944326815294,0.10817358137685507,0.05726787465130005,0.00014986222699072988,0.004101715102738977
attention_inferred,dorothea_human,probe_priors,0.05911772948063271,0.1116358037167836,0.05920872461894513,0.0001452144676436026,0.003967261714734516
attention_inferred,dorothea_human,probe_priors,0.06105601569311247,0.11508537681345489,0.061149555358268715,0.000140861804128039,0.00384134447066322
attention_inferred,dorothea_human,probe_priors,0.06299430190559223,0.11852236986155913,0.06309036716917363,0.00013677699682881778,0.0037231754529045125
attention_inferred,dorothea_human,probe_priors,0.06493258811807198,0.12194685155202092,0.06503116033407258,0.00013293605862208738,0.003612060820571393
attention_inferred,dorothea_human,probe_priors,0.06687087433055175,0.12535889007657539,0.06697193511942637,0.0001293177834998051,0.0035073871755404037
attention_inferred,dorothea_human,probe_priors,0.06880916054303152,0.12875855313229453,0.06891269177710516,0.0001259033548632852,0.0034086102327675963
attention_inferred,dorothea_human,probe_priors,0.07074744675551127,0.13214590792606457,0.07085343054559784,0.00012267601820684866,0.0033152453529802202
attention_inferred,dorothea_human,probe_priors,0.07268573296799102,0.1355210211790147,0.07279415165109021,0.00011962080617208868,0.003226859590106674
attention_inferred,dorothea_human,probe_priors,0.07462401918047079,0.13888395913089774,0.07473485530842908,0.0001167243064508227,0.00314306497804254
attention_inferred,dorothea_human,probe_priors,0.07656230539295056,0.14223478754442354,0.07667554172198726,0.0001139744649432917,0.003063512837127328
attention_inferred,dorothea_human,probe_priors,0.07850059160543031,0.14557357170954577,0.07861621108644201,0.00011136041807810793,0.0029878889240887085
attention_inferred,dorothea_human,probe_priors,0.08043887781791008,0.14890037644770257,0.0805568635874773,0.00010887234937510172,0.0029159092831850903
attention_inferred,dorothea_human,probe_priors,0.08237716403038983,0.15221526611601155,0.08249749940241909,0.00010650136625811931,0.0028473166830570882
attention_inferred,dorothea_human,probe_priors,0.0843154502428696,0.1555183046114196,0.08443811870081165,0.00010423939385915908,0.002781877545037513
attention_inferred,dorothea_human,probe_priors,0.08625373645534937,0.1588095553748088,0.08637872164494138,0.00010207908314105097,0.002719379285613175
attention_inferred,dorothea_human,probe_priors,0.08819202266782912,0.1620890813950577,0.08831930839031414,0.00010001373113582677,0.002659628009323959
attention_inferred,dorothea_human,probe_priors,0.09013030888030887,0.1653569452130603,0.09025987908609115,9.803721147491329e-05,0.0026024464993460983
attention_inferred,dorothea_human,probe_priors,0.09206859509278864,0.16861320892570114,0.0922004338754879,9.614391369445929e-05,0.0025476724618911884
attention_inferred,dorothea_human,probe_priors,0.09400688130526841,0.17185793418978873,0.09414097289613978,9.432869004928175e-05,0.0024951569877883838
