method,reference,precision,recall,f1,aupr,pred_edges,true_edges,candidate_edges,reference_excluded,ref_nodes,overlap_nodes,ref_node_overlap_pct,gene_universe_overlap_pct,source_table,coverage_overlap,observed_base_rate
attention_inferred,dorothea_human,8.361029242699777e-06,0.0002652871733651,1.6211133806698443e-05,0.000234896506359,239258,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817
attention_inferred,trrust_human,0.0,0.0,0.0,9.03232576486672e-06,239258,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05
probe_attention,dorothea_human,7.515751763070101e-05,0.0023875845602865,0.0001457277481824,0.0002352258010114,239505,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817
probe_attention,trrust_human,0.0,0.0,0.0,9.03227664779199e-06,239505,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05
probe_grad_input,dorothea_human,7.938000041778948e-05,0.002520228146969,0.0001539122052378,0.0002766684077106,239355,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817
probe_grad_input,trrust_human,0.0,0.0,0.0,9.032353706257255e-06,239355,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05
probe_integrated_gradients,dorothea_human,0.0001044473689707,0.0033160896670645,0.0002025160595235,0.0002728984309818,239355,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817
probe_integrated_gradients,trrust_human,4.177894758831025e-06,0.0031545741324921,8.344737808338063e-06,1.7426587262647723e-05,239355,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05
probe_perturbation,dorothea_human,0.0001086252637296,0.0034487332537471,0.0002106167019044,0.0002800788297264,239355,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817
probe_perturbation,trrust_human,0.0,0.0,0.0,9.032353493362616e-06,239355,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05
probe_consensus,dorothea_human,0.0001544904529075,0.0049078127072556,0.000299551482375,0.0003096569934889,239505,7539,23064006,False,18352,1743,9.497602441150828,36.32006668055845,probe_priors,0.09497602441150828,0.00032687296387279817
probe_consensus,trrust_human,0.0,0.0,0.0,9.032276971391347e-06,239505,317,23064006,False,2836,451,15.902679830747532,9.397791206501354,probe_priors,0.15902679830747532,1.3744359934696513e-05
genie3,hpn_dream,0.0,0.0,0.0,3.015093128955917e-06,9410,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
genie3,beeline_gsd,0.0,0.0,0.0,1.2367733550178578e-06,9410,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
genie3,dorothea_trrust_union_immune,0.0323060573857598,0.0262453595786929,0.0289620349640356,0.0013042172802631,9410,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
grnboost2,hpn_dream,0.0,0.0,0.0,3.0151337497466787e-06,8060,127,24408540,False,51,38,74.50980392156863,0.7700101317122594,grn_baselines_immune,0.7450980392156863,5.203096948854786e-06
grnboost2,beeline_gsd,0.0,0.0,0.0,1.2367659043099808e-06,8060,48,24408540,False,17,15,88.23529411764706,0.303951367781155,grn_baselines_immune,0.8823529411764706,1.966524831063226e-06
grnboost2,dorothea_trrust_union_immune,0.0348635235732009,0.0242596909263575,0.0286107010130835,0.0016239307463355,8060,11583,24408540,False,17731,2089,11.781625401838587,42.33029381965552,grn_baselines_immune,0.11781625401838587,0.0004745470232959448
