artifact,entry_type,candidate_edges,true_edges,observed_baserate,aupr,f1,precision,recall,sweep_axis,sweep_value
omnipath,global,162835,,,0.0005174990749955014,,,,global,
omnipath,percentile_sweep,162835,80.0,0.0004912948690392114,,0.0012252274328422212,0.0006141185862990143,0.25,percentile,80.0
omnipath,percentile_sweep,162835,80.0,0.0004912948690392114,,0.0008977393291438831,0.00045033980185048717,0.1375,percentile,85.0
omnipath,percentile_sweep,162835,80.0,0.0004912948690392114,,0.000733317037399169,0.00036845983787767134,0.075,percentile,90.0
omnipath,percentile_sweep,162835,80.0,0.0004912948690392114,,0.0007629510948348211,0.00038381822368926076,0.0625,percentile,92.0
omnipath,percentile_sweep,162835,80.0,0.0004912948690392114,,0.0008121002943863567,0.0004093746801760311,0.05,percentile,94.0
omnipath,percentile_sweep,162835,80.0,0.0004912948690392114,,0.0009729992702505473,0.0004912797838368951,0.05,percentile,95.0
omnipath,top_k_sweep,162835,80.0,0.0004912948690392114,,0.0006795016987542468,0.00034285714285714285,0.0375,top_k,25.0
omnipath,top_k_sweep,162835,80.0,0.0004912948690392114,,0.0009101251422070536,0.00045714285714285713,0.1,top_k,50.0
omnipath,top_k_sweep,162835,80.0,0.0004912948690392114,,0.0011972633979475482,0.0006,0.2625,top_k,100.0
omnipath,top_k_sweep,162835,80.0,0.0004912948690392114,,0.0010270064663370103,0.0005142857142857143,0.3375,top_k,150.0
omnipath_dorothea_union_immune_hpn,global,870806,,,0.001279279859180096,,,,global,
omnipath_dorothea_union_immune_hpn,percentile_sweep,870806,771.0,0.0008853866418008144,,0.0027553406161216014,0.0013837691344839862,0.3125810635538262,percentile,80.0
omnipath_dorothea_union_immune_hpn,percentile_sweep,870806,771.0,0.0008853866418008144,,0.0027246712128592304,0.0013703768919239633,0.23216601815823606,percentile,85.0
omnipath_dorothea_union_immune_hpn,percentile_sweep,870806,771.0,0.0008853866418008144,,0.0026180394299503713,0.0013206095474328499,0.14915693904020752,percentile,90.0
omnipath_dorothea_union_immune_hpn,percentile_sweep,870806,771.0,0.0008853866418008144,,0.002555511386222954,0.0012918969353333811,0.11673151750972763,percentile,92.0
omnipath_dorothea_union_immune_hpn,percentile_sweep,870806,771.0,0.0008853866418008144,,0.002866842700867597,0.0014545732932687706,0.09857328145265888,percentile,94.0
omnipath_dorothea_union_immune_hpn,percentile_sweep,870806,771.0,0.0008853866418008144,,0.002933742552807366,0.001492845823476723,0.08430609597924774,percentile,95.0
omnipath_dorothea_union_immune_hpn,top_k_sweep,870806,771.0,0.0008853866418008144,,0.0016497869025250903,0.0008551068883610451,0.023346303501945526,top_k,25.0
omnipath_dorothea_union_immune_hpn,top_k_sweep,870806,771.0,0.0008853866418008144,,0.0014928506449581303,0.0007600950118764845,0.041504539559014265,top_k,50.0
omnipath_dorothea_union_immune_hpn,top_k_sweep,870806,771.0,0.0008853866418008144,,0.0018594579327064528,0.0009382422802850357,0.10246433203631647,top_k,100.0
omnipath_dorothea_union_immune_hpn,top_k_sweep,870806,771.0,0.0008853866418008144,,0.0018100117257281363,0.0009105304829770388,0.14915693904020752,top_k,150.0
omnipath_dorothea_intersection_immune_hpn,global,29253,,,0.02512358770933531,,,,global,
omnipath_dorothea_intersection_immune_hpn,percentile_sweep,29253,583.0,0.019929579872149866,,0.043518806341311785,0.02392753375491369,0.24013722126929674,percentile,80.0
omnipath_dorothea_intersection_immune_hpn,percentile_sweep,29253,583.0,0.019929579872149866,,0.04224502112251056,0.023928896991795807,0.18010291595197256,percentile,85.0
omnipath_dorothea_intersection_immune_hpn,percentile_sweep,29253,583.0,0.019929579872149866,,0.03875748076375036,0.02323991797676008,0.11663807890222985,percentile,90.0
omnipath_dorothea_intersection_immune_hpn,percentile_sweep,29253,583.0,0.019929579872149866,,0.03967168262653899,0.024775736864587783,0.09948542024013722,percentile,92.0
