reference,n_rows,n_positive_uplift,positive_uplift_fraction,positive_uplift_ci95_low,positive_uplift_ci95_high,median_aupr_ratio,median_aupr_uplift_ratio
dorothea_trrust_union_immune,9,2,0.2222222222222222,0.06322510711784671,0.5474110308930111,0.0029119908397986,-0.0011166595030716
trrust_human,6,1,0.16666666666666666,0.030053369748306635,0.5635028221864702,5.5591933864066606e-05,-2.9003834341020616e-05
beeline_gsd,9,0,0.0,0.0,0.2991450484195441,1.3861074155192906e-06,-8.178670390032661e-07
dorothea_human,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,0.00288907419730355,-0.0005495584141116
hpn_dream,9,0,0.0,0.0,0.2991450484195441,4.000165124322165e-06,-2.9037178458993233e-06
