method_family,methods,median_hpn_aupr,median_hpn_ratio_to_ceiling_approx,hpn_positive_uplift_fraction,median_beeline_aupr,median_beeline_ratio_to_ceiling_approx,beeline_positive_uplift_fraction
prior_constrained,12,0.00069869888892895,0.0009377274561941171,1.0,2.6323176716537893e-05,2.9832933612076278e-05,0.9166666666666666
classical_grn,7,3.014724826426898e-06,4.0460780565203104e-06,1.0,1.2367733550178578e-06,1.4016764690202387e-06,0.42857142857142855
control,3,3.014112409091841e-06,4.0452561279916814e-06,0.6666666666666666,1.2372369853454842e-06,1.4022019167248822e-06,0.6666666666666666
