reference,support_num,support_den,overlap_point,beta_ci_low,beta_ci_high,adversarial_half,adversarial_150pct,mapping_min,mapping_max,conservative_min,optimistic_max
beeline_gsd,15.0,17.0,0.8823529411764706,0.6544689300519024,0.9638282983258678,0.4411764705882353,0.999,0.05921052631578947,0.8026315789473685,0.05921052631578947,0.999
dorothea_human,1743.0,18352.0,0.09497602441150828,0.09087945888461033,0.09936217058469841,0.04748801220575414,0.14246403661726242,,,0.04748801220575414,0.14246403661726242
dorothea_trrust_union_immune,2089.0,17731.0,0.11781625401838587,0.11316845635796098,0.12259038693611184,0.058908127009192936,0.17672438102757881,,,0.058908127009192936,0.17672438102757881
hpn_dream,38.0,51.0,0.7450980392156863,0.6132743071559684,0.8462786451882863,0.37254901960784315,0.999,0.04956896551724138,1.0,0.04956896551724138,1.0
omnipath_interactions,7399.0,7486.0,0.9883783061715199,0.985698463137136,0.9905721440588523,0.49418915308575995,0.999,0.9947795091792316,0.9947795091792316,0.49418915308575995,0.999
trrust_human,451.0,2836.0,0.15902679830747532,0.1461302096590719,0.1731976391494414,0.07951339915373766,0.23854019746121297,,,0.07951339915373766,0.23854019746121297
