reference,n_rows,methods,c_median,observed_f1_median,f1_ceiling_median,f1_ratio_median,observed_aupr_median,aupr_ceiling_median,aupr_ratio_median,aupr_uplift_ratio_median
dorothea_trrust_union_immune,9,9,0.11781625401838587,0.0021794642421482,0.21079717457114028,0.010339153010861014,0.0003433953192191,0.11792458771705586,0.0029119908397986583,-0.001116659503071699
dorothea_human,6,6,0.09497602441150828,0.00017821413238065,0.17347598905200298,0.0010273129633359616,0.00027478341934620003,0.09511123653475487,0.0028890741973036024,-0.0005495584141116728
trrust_human,6,6,0.15902679830747532,0.0,0.27441435959841803,0.0,9.032339629114668e-06,0.16247572266869767,5.5591933864066606e-05,-2.9003834341020616e-05
hpn_dream,9,9,0.7450980392156863,0.0,0.8539325842696629,0.0,3.014724826426898e-06,0.7536500951164481,4.000165124322165e-06,-2.9037178458993233e-06
beeline_gsd,9,9,0.8823529411764706,0.0,0.9375,0.0,1.2367733550178578e-06,0.8922637172058658,1.3861074155192906e-06,-8.178670390032661e-07
