method,edges,hpn_precision,hpn_recall,hpn_f1,hpn_aupr,beeline_precision,beeline_recall,beeline_f1,beeline_aupr,method_family,hpn_aupr_minus_random,beeline_aupr_minus_random,hpn_ratio_to_ceiling_approx,beeline_ratio_to_ceiling_approx,hpn_positive_uplift,beeline_positive_uplift
omnipath_dorothea_intersection_immune,3950,0.0030503304524656,0.0769230769230769,0.0058679706601467,0.0037315611576285,0.0002541942043721,0.0208333333333333,0.0005022601707684,0.0002889531342925,prior_constrained,0.003728547203328342,0.0002877161709682875,0.005008147869448776,0.0003274802188648334,True,True
omnipath_dorothea_intersection_scaled,3950,0.0030518819938962,0.0769230769230769,0.0058708414872798,0.0035034565876723,0.0,0.0,0.0,0.0003146627202313,prior_constrained,0.003500442633372142,0.0003134257569070875,0.004702007525560192,0.00035661774959547336,True,True
omnipath_prior,84547,0.011070110701107,0.1153846153846153,0.0202020202020202,0.0019695128509511,0.0006150061500615,0.0208333333333333,0.001194743130227,7.801856933141297e-06,prior_constrained,0.001966498896650942,6.564893608928811e-06,0.0026432935631185814,8.842104524226804e-06,True,True
omnipath_intercell_union_sources,43750,0.0008990939899024,0.25,0.0017917441940596,0.000772952742185,4.610738409756323e-05,0.0416666666666666,9.211283822682788e-05,2.5719237403532595e-05,prior_constrained,0.0007699387878848419,2.448227407932011e-05,0.0010373839434588159,2.9148469057336943e-05,True,True
omnipath_intercell_union_targets,39950,0.0009556622991222,0.2435897435897435,0.0019038553069966,0.0007583188302276,0.0,0.0,0.0,2.6101975436066775e-05,prior_constrained,0.0007553048759274418,2.4865012111854288e-05,0.0010177436932002,2.9582238827542347e-05,True,True
omnipath_intercell_union,43750,0.0008724200472943,0.2435897435897435,0.0017386132271864,0.0007202008450681,0.0,0.0,0.0,2.141593377857147e-05,prior_constrained,0.0007171868907679418,2.0178970454358985e-05,0.0009665853446966605,2.4271391615714336e-05,True,True
omnipath_dorothea_union_scaled,42100,0.0009332822819948,0.25,0.0018596223536143,0.0006771969327898,4.7860629845888775e-05,0.0416666666666666,9.561143512764126e-05,2.770762264895995e-05,prior_constrained,0.0006741829784896418,2.6470659324747463e-05,0.0009088695676915736,3.140197233548794e-05,True,True
omnipath_dorothea_union_immune,42100,0.0008860365430206,0.2371794871794871,0.0017654777525945,0.0006744426720532,4.789386719030628e-05,0.0416666666666666,9.567775731336856e-05,2.6544377997009007e-05,prior_constrained,0.0006714287177530419,2.530741467279652e-05,0.0009051730598608736,3.008362839661021e-05,True,True
omnipath_intercell_union_sources_relaxed,61900,0.0006364749082007,0.25,0.0012697172437368,0.0006129663670445,3.2639738882088947e-05,0.0416666666666666,6.52283808685159e-05,1.6739439193415777e-05,prior_constrained,0.0006099524127443418,1.550247586920329e-05,0.0008226653873491973,1.8971364419204548e-05,True,True
omnipath_dorothea_union_scaled_1200x420,42100,0.0008374007082017,0.2243589743589743,0.0016685736079328,0.000523751114584,7.17772035601493e-05,0.0625,0.000143389733295,2.7767371366711763e-05,prior_constrained,0.0005207371602838418,2.6530408042499276e-05,0.000702929127468,3.1469687548939995e-05,True,True
omnipath_relaxed_immune,39950,0.000666683761122,0.2047244094488189,0.001329039513367,0.000199377420258,5.048720149442117e-05,0.0416666666666666,0.0001008522010992,1.2334568098040918e-06,prior_constrained,0.00019636346595784185,-3.5065144083941464e-09,0.00026758548508310523,1.3979177177779707e-06,True,False
trrust_prior,8406,0.0012853470437017,0.0064102564102564,0.0021413276231263,9.006381443704029e-06,0.0077120822622107,0.125,0.0145278450363196,0.0010296167496008,prior_constrained,5.992427143545882e-06,0.0010283797862765875,1.2087511937602774e-05,0.0011668989828809066,True,True
grnboost2,8060,0.0,0.0,0.0,3.0151337497466787e-06,0.0,0.0,0.0,1.2367659043099808e-06,classical_grn,1.1794495885320188e-09,-1.9741990250521068e-10,4.046626874660016e-06,1.401668024884645e-06,True,False
genie3,9410,0.0,0.0,0.0,3.015093128955917e-06,0.0,0.0,0.0,1.2367733550178578e-06,classical_grn,1.1388287977704698e-09,-1.8996919462821018e-10,4.046572357282941e-06,1.4016764690202387e-06,True,False
scenic_grnboost2,3488,0.0,0.0,0.0,3.0148447640771995e-06,0.0,0.0,0.0,1.2375225195087353e-06,classical_grn,8.904639190528653e-10,5.591952962492881e-10,4.046239025472031e-06,1.4025255221099e-06,True,True
scenic_pruned,29,0.0,0.0,0.0,3.014751626104746e-06,0.0,0.0,0.0,1.237330177644851e-06,control,7.973259465995442e-10,3.6685343236496563e-10,4.046114024509002e-06,1.4023075346641644e-06,True,True
pidc_full,9950,0.0,0.0,0.0,3.014724826426898e-06,0.0,0.0,0.0,1.2373111562757078e-06,classical_grn,7.705262687513534e-10,3.4783206322179497e-10,4.0460780565203104e-06,1.4022859771124688e-06,True,True
pidc_proxy,15000,0.0,0.0,0.0,3.014717318258888e-06,0.0,0.0,0.0,1.2376754593969737e-06,classical_grn,7.630181007413912e-10,7.1213518448772e-10,4.046067979768507e-06,1.4026988539832368e-06,True,True
spearman,50000,2.004008016032064e-05,0.0064102564102564,3.995525011986575e-05,3.0143920724455973e-06,0.0,0.0,0.0,1.2367378828042471e-06,classical_grn,4.3777228745062345e-10,-2.254414082388335e-10,4.04563146565067e-06,1.4016362671781467e-06,True,False
pearson,50000,0.0,0.0,0.0,3.014392064481389e-06,0.0,0.0,0.0,1.2367378828042471e-06,classical_grn,4.3776432324239514e-10,-2.254414082388335e-10,4.045631454961864e-06,1.4016362671781467e-06,True,False
random_3950,3950,0.0,0.0,0.0,3.014112409091841e-06,0.0,0.0,0.0,1.2372369853454842e-06,control,1.581089336942531e-10,2.736611329982356e-10,4.0452561279916814e-06,1.4022019167248822e-06,True,True
random,50000,0.0,0.0,0.0,3.0137961912244524e-06,0.0,0.0,0.0,1.2366896630794875e-06,control,-1.581089336942531e-10,-2.7366113299844735e-10,4.044831730327555e-06,1.4015816181567526e-06,False,False
