perturbation,truth_edges,hits,recall
FOS,50,5,0.1
NEAT1,50,4,0.08
TSC22D3,50,4,0.08
JUNB,50,3,0.06
ZEB2,50,3,0.06
ZFP36,50,3,0.06
MAF,50,2,0.04
FLI1,50,1,0.02
GBX2,50,1,0.02
IRF8,50,1,0.02
JUN,50,1,0.02
KLRG1,50,1,0.02
POU1F1,50,1,0.02
POU3F1,50,1,0.02
REL,50,1,0.02
RUNX1T1,50,1,0.02
SOX11,50,1,0.02
TBX21,50,1,0.02
TRIM22,50,1,0.02
7SK_ENSG00000271394,50,0,0.0
7SK_ENSG00000274303,50,0,0.0
A2M,50,0,0.0
AAK1,50,0,0.0
AATBC,50,0,0.0
ABHD15-AS1,50,0,0.0
