comparison,n_methods,x_range,y_range,spearman_r,pearson_r,informative,note
central_hpn_vs_timeseries_hpn,9,1.7747739048840251e-09,1.7951443324611631e-09,,,False,degenerate_dynamic_range_not_interpretable
central_beeline_vs_timeseries_beeline,9,1.1048261836458616e-09,1.1172358264841676e-09,,,False,degenerate_dynamic_range_not_interpretable
