metric,point_estimate,bootstrap_mean,bootstrap_std,ci95_low,ci95_high
median_aupr_ratio,5.559154822046219e-05,5.560889071987152e-05,9.432675739099467e-07,5.559154622878397e-05,5.559201919526391e-05
median_f1_ratio,0.0,0.0,0.0,0.0,0.0
median_aupr_uplift_ratio,-2.9041593826881113e-06,-7.1236608894872235e-06,9.610006228121791e-06,-2.9003749002604252e-05,-2.903682285812428e-06
fraction_positive_uplift,0.07692307692307693,0.07823931623931624,0.04053281322975798,0.0,0.15384615384615385
best_aupr_ratio,0.013770925790573,0.012096265133974876,0.0030308658778445386,0.003837683946077268,0.013770925790573
best_f1_ratio,0.1373928992310161,0.12696314141910525,0.030160220998025043,0.0117780978701477,0.1373928992310161
